,FMID,MarketName,street_farm,city_farm,county_farm,state_farm,zip_farm,x_farm,y_farm,state_svi,county_svi,E_TOTPOP,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_MINRTY,M_MINRTY,EP_MINRTY,MP_MINRTY,EPL_MINRTY
42,1002454.0,112st Madison Avenue,112th Madison Avenue,New York,New York,New York,10029,-73.949303,40.7939,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
43,1009845.0,125th Street Fresh Connect Farmers' Market,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,-73.94825,40.808952,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
44,1016782.0,175th Street Greenmarket,175th Street between Wadsworth & Broadway,New York ,New York,New York,10033,-73.938049,40.846355,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
45,1000060.0,57th Street Greenmarket,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.98584,40.768158,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
46,1000061.0,79th Street Greenmarket,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.781799,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
47,1000062.0,82nd Street Greenmarket,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.950089,40.77375,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
48,1000063.0,92nd Street Greenmarket,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.946419,40.78093,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
49,1000064.0,97th Street Greenmarket,W 97 St. & Columbus,New York,New York,New York,10025,-73.96701,40.79356,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
50,1000065.0,Abingdon Square Greenmarket,W12 St. & 8th Ave,New York,New York,New York,10014,-74.00528,40.737179,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
51,1008918.0,Barclays Center,Flatbush Ave between Atlantic Ave & Pacific St,Brooklyn,New York,New York,11217,-73.951141,40.677963,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
52,1008920.0,Bensonhurst,18th Ave between 81st & 82nd Streets,Brooklyn,New York,New York,11214,-74.010956,40.615536,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
53,1000066.0,Bowling Green Greenmarket,Broadway & Battery Place,New York,New York,New York,10004,-74.014313,40.704586,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
54,1008924.0,Brownsville Pitkin YM,Thomas Boyland St. at Pitkin Ave,Brooklyn,New York,New York,11212,-73.913582,40.66925,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
55,1008922.0,Brownsville Rockaway YM,Rockaway Ave at Livonia Ave,Brooklyn,New York,New York,11212,-73.908951,40.662544,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
56,1006003.0,Cedar St. Greenmarket,Cedar Street between Church & Broadway,New York City,New York,New York,,-74.010902,40.708801,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
57,1009894.0,Chelsea's Down to Earth Farmers Market ,383 W 23rd st,New York,New York,New York,10011,-74.000801,40.746292,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
58,1011319.0,Chenchita's Communty Farmer Market,,NYC,New York,New York,10029,-74.005112,40.749336,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
59,1000067.0,City Hall Park Greenmarket,Broadway & Chambers,New York,New York,New York,10007,-74.00631,40.71386,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
60,1000068.0,Columbia University Greenmarket,Broadway - W114 & 115 Sts.,New York,New York,New York,10027,-73.964363,40.807346,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
61,1006216.0,Coney Island Hospital Market,Lutheran Way 55th Street Sunset Park,Brooklyn,New York,New York,11220,-74.001999,40.635502,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
62,1006210.0,Coop City Market,140 Bellamy Loop- The Circle,New York,New York,New York,10475,-73.8255,40.872601,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
63,1008921.0,Cypress Hills YM,Fulton St btwn Richmond and Logan,Brooklyn,New York,New York,11207,-73.949997,40.650002,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
64,1000069.0,Dag Hammarskjold Plaza Greenmarket,E 47 St & 2 Ave,New York,New York,New York,10017,-73.969879,40.752991,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
65,1009476.0,Dag Hammerskjold Plaza Greenmarket ,47th Street at Second Ave,Manhattan ,New York,New York,10017,-73.969902,40.752998,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
66,1001847.0,Dean Street Farmers Market,1095 Dean Street,Brooklyn,New York,New York,11216,-73.953766,40.677254,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
67,1010972.0,Down to Earth Morningside Park Farmers Market,110th Street and Manhattan Avenue,Manhattan,New York,New York,10026,-73.959648,40.801369,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
68,1000070.0,Downtown PATH Greenmarket,W Broadway - Barclay St & Park Pl,New York,New York,New York,10271,-74.008171,40.711952,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
69,1000071.0,Ft. Washington Greenmarket,168th St. & Ft. Washington,New York,New York,New York,10032,-73.942268,40.842175,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
70,1018346.0,Grass Roots Farmers Market,,New York,New York,New York,10031,-73.943451,40.823616,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
71,1019383.0,Harvest Home 125th Street Market,W. 125th Street & Adam Clayton Powell Blvd,New York,New York,New York,,-73.947701,40.808708,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
72,1005331.0,Harvest Home Bellevue Farmer's Market,27th Street Between 1st Avenue & St. Carmel Place,Manhattan,New York,New York,,-73.977303,40.739601,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
73,1019374.0,Harvest Home Clinton Hill Market,Lafayette btwn Waverly & Washington,Brooklyn,New York,New York,,-73.966309,40.688145,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
74,1019380.0,Harvest Home East Harlem Market,E. 104th Street & 3rd Avenue,New York,New York,New York,,-73.945625,40.790264,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
75,1019381.0,Harvest Home Harlem Hospital Market,Lenox Avenue btwn W. 136th & W. 138th Street,New York,New York,New York,,-73.940102,40.814968,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
76,1019382.0,Harvest Home Lenox Avenue Market,Lenox Avenue btwn W. 117th & W. 118th Street,New York,New York,New York,,-73.94886,40.803028,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
77,1002339.0,Harvest Home Metropolitan Hospital Market,97-99th Street and 2nd Ave.,Manhattan,New York,New York,,-73.94622,40.785538,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
78,1005330.0,Harvest Home Mt Morris Park Market,124th Street & 5th Avenue/ Marcus Garvey Park,Manhattan,New York,New York,,-73.942902,40.805599,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
79,1002340.0,Harvest Home Union Settlement Market,104th St and 3rd Ave,Manhattan,New York,New York,,-73.945702,40.789799,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
80,1002345.0,Harvest Home West Harlem Market,Broadway btwn W. 138th & W. 139th St,New York,New York,New York,,-73.953194,40.822369,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
81,1000072.0,Inwood Greenmarket,Isham St - Seaman & Cooper,New York,New York,New York,10034,-73.919945,40.868271,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
82,1008923.0,Kensington YM,Ft. Hamilton Pkwy btwn E. 5th and E. 4th,Brooklyn,New York,New York,11218,-73.949997,40.650002,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
83,1001366.0,La Marqueta,1607 Park avenue,Manhattan,New York,New York,10029,-73.943703,40.798199,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
84,1001365.0,La Marqueta Farmers Market,"La Marqueta, E. 115th St & Park Ave, E. Harlem",New York City,New York,New York,,-73.943802,40.798302,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
85,1008909.0,Lower East Side YM,Grand Avenue btwn Pitt St and Abraham Pl,New York ,New York,New York,10002,-73.981773,40.714451,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
86,1002180.0,Lower East Side Youthmarket,Grand St. and Abraham Pl.,New York,New York,New York,10007,-73.983398,40.714901,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
87,1006215.0,Lutheran Market,150 55th Street,BROOKLYN,New York,New York,11220,-75.512299,42.946701,New York,New York,1629153.0,352650.0,7473.0,54129.0,2552.0,222333.0,5321.0,152014.0,4015.0,75705.0,3460.0,865951.0,4550.0,53.2,0.3,0.8886
